uf,ano,i1,i2,i3,i4,i5,i6,i7
GO,2025,7.6265199780776465,4.287971946857942,3.980576498761955,3.645943479315691,0.9961880559085133,10.403890275753596,NA
MA,2025,2.4580953272778348,1.1078150709670513,1.4213476382218775,1.0367476890559577,0.98989898989899,2.834321051275445,NA
MG,2025,4.350064788712765,2.1712377303852612,1.9918536153867965,2.3582111733259685,0.9940091439381996,8.975210088263296,NA
MS,2025,6.033149898718742,2.820055408684493,3.0018359838087547,3.031313914909987,0.9991863303498779,8.34053500010049,NA
MT,2025,3.262991374309269,1.5843036631460292,1.833747218620085,1.429244155689184,0.9777777777777777,4.692873036207943,NA
PA,2025,4.028662946207443,1.9813096456757915,1.7831786811082126,2.245484265099231,0.9862570735650767,2.3408720833304786,NA
PB,2025,4.4507481216783225,2.4261596903885594,2.6381000771351464,1.8126480445431763,0.9925373134328358,16.323199347072027,NA
PE,2025,2.6650014229477006,1.4242216017473848,1.2025627835863428,1.4624386393613578,0.9914691943127962,8.18562578631376,NA
PI,2025,5.38471775207133,2.7539689189655427,1.330776927285363,4.0539408247859665,0.9842342342342343,0.9113566194249153,NA
PR,2025,3.4861349875043848,1.6808150832610427,2.614601240628289,0.8715337468760962,0.986784140969163,10.237515996118743,NA
RJ,2025,3.2576150532056967,1.8519898427248132,2.22940384071968,1.0282112124860163,0.9959319526627219,13.770993478815258,NA
RN,2025,3.9471236571641164,1.6567455703855274,0.6917639399153607,3.255359717248756,0.9956011730205279,26.680446291101596,NA
RO,2025,1.2042472875487777,0.5944041098798455,0.44773296588351996,0.7565143216652579,0.9811320754716981,4.12215024817027,NA
RR,2025,2.1963972528643314,1.1145896507072728,1.7374485731613367,0.4589486797029947,0.9710144927536232,0.7030229988952496,NA
RS,2025,2.662084597530336,1.923268167378745,1.4283784316264092,1.2337061659039266,0.9750859106529209,5.365727578185578,NA
SC,2025,3.9014850336070954,2.054752186859433,2.720713383620138,1.1807716499869576,0.988248673237301,18.505586592178773,NA
SE,2025,3.7304432215322305,1.7577025705465148,0.925598694064388,2.8048445274678424,0.9827586206896551,19.44493547816864,NA
SP,2025,4.71895977606921,2.339240812754841,3.5467917937824485,1.1721679822867614,0.9910825753522383,4.336488030707023,NA
TO,2025,9.38771359872968,4.098137555681775,5.382015236033208,4.005698362696472,0.9881081081081081,5.719986697705354,NA
BR,2025,4.3548439843177285,2.21731286498309,2.5329542373301206,1.8218897469876079,0.9908881016584713,7.388312805678704,NA
AC,2026,0.10244143551183583,0.07683107663387687,0,0.10244143551183583,0.8,0.23980384045850495,NA
AL,2026,3.63031432139053,1.5398915692931259,0.16755296867956293,3.462761352710967,0.9848484848484849,38.872779992751,NA
AM,2026,0.7060864653311546,0.3646820205556513,0.5353842429434029,0.17070222238775165,0.875,0.3397106283102484,NA
AP,2026,2.703661178585599,1.2289368993570904,2.2823113845203107,0.4213497940652881,0.9390243902439024,0.9380863039399624,NA
BA,2026,3.10900256740078,1.425176497954238,1.1526397011469112,1.956362866253869,0.9916943521594684,7.207690305893115,NA
CE,2026,7.9409634453891504,3.451749678337653,3.131784118267028,4.809179327122123,0.9984760743675709,2.5589983810968135,NA
DF,2026,7.434722998831496,4.236992676753433,3.735126667871737,3.699596330959759,0.995243757431629,18.181818181818183,NA
ES,2026,3.8894762259028672,2.151704489305805,0.630221938808806,3.2592542870940617,0.9830348727615457,17.23744292237443,NA
GO,2026,6.537462540552275,3.7229901990253342,3.767449583541213,2.7700129570110614,0.9932452276064611,8.39814721288293,NA
MA,2026,2.3064592868527267,1.0434968407304974,1.3706248185785501,0.9358344682741764,0.9893428063943162,2.791376792922786,NA
MG,2026,3.564205390946629,1.7862295253354683,1.6211563308493258,1.9430490600973038,0.9938626774069812,7.422827233563684,NA
MS,2026,6.071722589741233,2.8305373425605267,3.094525281244928,2.977197308496305,0.999195494770716,8.501316397692788,NA
MT,2026,2.912207975834699,1.4694934498752104,1.586651242006491,1.325556733828208,0.9508196721311475,4.423167689299441,NA
PA,2026,3.713277498093557,1.8027521362776107,1.6721179235038708,2.041159574589686,0.9844155844155844,2.101075430891747,NA
PB,2026,4.099848438217439,2.2488386985909674,2.3261943295007304,1.7736541087167088,0.9919786096256684,16.119159355233627,NA
PE,2026,2.608527508969973,1.3927312572116812,1.157660464252178,1.450867044717795,0.9932627526467758,7.930820314366251,NA
PI,2026,5.134548367323514,2.619169143379058,1.1783208500516507,3.9562275172718633,0.9882491186839013,0.9113566194249153,NA
PR,2026,3.1568924024981166,1.5398219059493259,2.350417116639707,0.8064752858584096,0.9842646114322415,9.787515292992644,NA
RJ,2026,3.099799469317218,1.7670180133593296,2.112242090850227,0.987557378466991,0.9957496136012365,13.588837480418231,NA
RN,2026,3.867699284648813,1.622124625352711,0.65231346144077,3.2153858232080426,0.9955423476968797,26.522261826925103,NA
RO,2026,1.196476835901668,0.590568694643772,0.4448439518095945,0.7516328840920735,0.9811320754716981,4.12215024817027,NA
RR,2026,2.082940069908676,1.074015973546661,1.6272969296161532,0.4556431402925229,0.9696969696969697,0.7030229988952496,NA
RS,2026,2.3983881709438313,1.7310004294190127,1.275166420321501,1.1232217506223303,0.9743589743589743,4.673042129749289,NA
SC,2026,3.393611255055424,1.7854058336162584,2.366146680247068,1.0274645748083555,0.990438939591482,16.46049481245012,NA
SE,2026,3.493859333701563,1.649620587264929,0.9174856075237526,2.5763737261778106,0.9792207792207792,18.384302633904895,NA
SP,2026,4.048756074860195,1.969566103375646,3.159365515087189,0.889390559773006,0.9895309594324678,4.08743297488939,NA
TO,2026,7.610598523584694,3.4686373968080373,3.897116134060795,3.713482389523899,0.9867724867724867,5.387429331559694,NA
BR,2026,3.831438929163149,1.9506459466088613,2.239607711915101,1.5918312172480478,0.9893801085854066,6.750182844389386,NA
